ID word 0x81A6
0x1305: 0xC000
0x121E: 0x03CA
0x1233: 0x0352
0x1234: 0x0064
0x1237: 0x0096
0x1238: 0x0078
0x1239: 0x0084
0x123A: 0x0030
0x0201: 0x0064
0x0202: 0x0064
0x0203: 0x0096
0x0204: 0x0096
0x0205: 0x0096
0x0206: 0x0096
0x0207: 0x0096
0x0900: 0x4444
0x0901: 0x1114
0x087B: 0x8010
0x087C: 0x4020
0x087D: 0x0408
0x087E: 0x0102
0x090A: 0x1001
0x0302: 0x8787
0x0303: 0x8787
0x0304: 0x0087
0x030C: 0x0001
0x030D: 0x0002
0x030E: 0x0004
0x0313: 0x0008
0x0314: 0x0001
0x0315: 0x0002
0x0316: 0x0004
0x031B: 0x0008
0x031C: 0x0001
0x031D: 0x0002
0x031E: 0x0004
0x0323: 0x0008
0x0324: 0x0001
0x0325: 0x0002
0x0326: 0x0004
0x032B: 0x0008
0x032C: 0x0001
0x032D: 0x0002
0x032E: 0x0004
0x0333: 0x0008
0x0851: 0x1111
0x0852: 0x0001
0x0A30: 0x021E
0x1C00: 0x0629
0x1C05: 0x7D10
0x1C06: 0x7D10
0x1C07: 0x7D10
0x1C08: 0x7D10
0x1C09: 0x7D10
0x08C9: 0x0000
0x1B03: 0x0960
0x205F: 0x0002
0x2059: 0x1A00
0x205F: 0x0000
0x207F: 0x0002
0x2077: 0x0000
0x2078: 0x0000
0x2079: 0x0000
0x207A: 0x0000
0x207B: 0x0000
0x207F: 0x0000
0x205F: 0x0002
0x2053: 0x0000
0x2054: 0x0000
0x2055: 0x0000
0x2056: 0x0000
0x2057: 0x0000
0x205F: 0x0000
0x133F: 0x0030
0x133E: 0x000E
0x221F: 0x0005
0x2205: 0x8B86
0x2206: 0x800E
0x221F: 0x0000
0x133F: 0x0010
0x12A3: 0x2200
0x6107: 0xE58B
0x6103: 0xA970
0x133F: 0x0030
0x133E: 0x000E
0x221F: 0x0007
0x221E: 0x002C
0x2219: 0x0504
0x221F: 0x0000
0x133F: 0x0010
0x1200: 0x7FC4
0x13EB: 0x11BB
0x0018: 0x0F00
0x0038: 0x0F00
0x0058: 0x0F00
0x0078: 0x0F00
0x0098: 0x0F00
0x207F: 0x0002
0x2073: 0x1D22
0x207F: 0x0000
0x133F: 0x0030
0x133E: 0x000E
0x2200: 0x1340
0x133E: 0x000E
0x133F: 0x0010
Register count: 105 (0x69)
