First 2 bytes 0x472
Read until 0x0472
0004 0x1B26: 0x0000
0008 0x1B27: 0x0000
000C 0x207F: 0x0007
0010 0x207E: 0x000B
0014 0x2076: 0x1A00
0018 0x207E: 0x000A
001C 0x2078: 0x1D22
0020 0x207F: 0x0000
0024 0x205F: 0x0007
0028 0x205E: 0x000A
002C 0x2059: 0x0000
0030 0x205A: 0x0000
0034 0x205B: 0x0000
0038 0x205C: 0x0000
003C 0x205E: 0x000B
0040 0x2055: 0x0500
0044 0x2056: 0x0000
0048 0x2057: 0x0000
004C 0x2058: 0x0000
0050 0x205F: 0x0000
0054 0x1362: 0x0115
0058 0x1363: 0x0002
005C 0x1363: 0x0000
0060 0x133F: 0x0030
0064 0x133E: 0x000E
0068 0x221F: 0x0007
006C 0x221E: 0x0040
0070 0x2218: 0x0000
0074 0x221F: 0x0007
0078 0x221E: 0x002C
007C 0x2218: 0x008B
0080 0x2219: 0x0504
0084 0x221F: 0x0005
0088 0x2205: 0xFFF6
008C 0x2206: 0x0080
0090 0x221F: 0x0005
0094 0x2205: 0x8000
0098 0x2206: 0x0280
009C 0x2206: 0x2BF7
00A0 0x2206: 0x00E0
00A4 0x2206: 0xFFF7
00A8 0x2206: 0xA080
00AC 0x2206: 0x02AE
00B0 0x2206: 0xF602
00B4 0x2206: 0x804E
00B8 0x2206: 0x0201
00BC 0x2206: 0x5002
00C0 0x2206: 0x0163
00C4 0x2206: 0x0201
00C8 0x2206: 0x79E0
00CC 0x2206: 0x8B8C
00D0 0x2206: 0xE18B
00D4 0x2206: 0x8D1E
00D8 0x2206: 0x01E1
00DC 0x2206: 0x8B8E
00E0 0x2206: 0x1E01
00E4 0x2206: 0xA000
00E8 0x2206: 0xE4AE
00EC 0x2206: 0xD8BF
00F0 0x2206: 0x8B88
00F4 0x2206: 0xEC00
00F8 0x2206: 0x19A9
00FC 0x2206: 0x8B90
0100 0x2206: 0xF9EE
0104 0x2206: 0xFFF6
0108 0x2206: 0x00EE
010C 0x2206: 0xFFF7
0110 0x2206: 0xFCE0
0114 0x2206: 0xE140
0118 0x2206: 0xE1E1
011C 0x2206: 0x41F7
0120 0x2206: 0x2FF6
0124 0x2206: 0x28E4
0128 0x2206: 0xE140
012C 0x2206: 0xE5E1
0130 0x2206: 0x4104
0134 0x2206: 0xF8FA
0138 0x2206: 0xEF69
013C 0x2206: 0xE08B
0140 0x2206: 0x86AC
0144 0x2206: 0x201A
0148 0x2206: 0xBF80
014C 0x2206: 0x77D0
0150 0x2206: 0x6C02
0154 0x2206: 0x2978
0158 0x2206: 0xE0E0
015C 0x2206: 0xE4E1
0160 0x2206: 0xE0E5
0164 0x2206: 0x5806
0168 0x2206: 0x68C0
016C 0x2206: 0xD1D2
0170 0x2206: 0xE4E0
0174 0x2206: 0xE4E5
0178 0x2206: 0xE0E5
017C 0x2206: 0xEF96
0180 0x2206: 0xFEFC
0184 0x2206: 0x0425
0188 0x2206: 0x0807
018C 0x2206: 0x2640
0190 0x2206: 0x7227
0194 0x2206: 0x267E
0198 0x2206: 0x2804
019C 0x2206: 0xB729
01A0 0x2206: 0x2576
01A4 0x2206: 0x2A68
01A8 0x2206: 0xE52B
01AC 0x2206: 0xAD00
01B0 0x2206: 0x2CDB
01B4 0x2206: 0xF02D
01B8 0x2206: 0x67BB
01BC 0x2206: 0x2E7B
01C0 0x2206: 0x0F2F
01C4 0x2206: 0x7365
01C8 0x2206: 0x31AC
01CC 0x2206: 0xCC32
01D0 0x2206: 0x2300
01D4 0x2206: 0x332D
01D8 0x2206: 0x1734
01DC 0x2206: 0x7F52
01E0 0x2206: 0x3510
01E4 0x2206: 0x0036
01E8 0x2206: 0x1000
01EC 0x2206: 0x3710
01F0 0x2206: 0x0038
01F4 0x2206: 0x7FCE
01F8 0x2206: 0x3CE5
01FC 0x2206: 0xF73D
0200 0x2206: 0x3DA4
0204 0x2206: 0x6530
0208 0x2206: 0x3E67
020C 0x2206: 0x0053
0210 0x2206: 0x69D2
0214 0x2206: 0x0F6A
0218 0x2206: 0x012C
021C 0x2206: 0x6C2B
0220 0x2206: 0x136E
0224 0x2206: 0xE100
0228 0x2206: 0x6F12
022C 0x2206: 0xF771
0230 0x2206: 0x006B
0234 0x2206: 0x7306
0238 0x2206: 0xEB74
023C 0x2206: 0x94C7
0240 0x2206: 0x7698
0244 0x2206: 0x0A77
0248 0x2206: 0x5000
024C 0x2206: 0x788A
0250 0x2206: 0x1479
0254 0x2206: 0x7F6E
0258 0x2206: 0x7A06
025C 0x2206: 0xA600
0260 0x2201: 0x0601
0264 0x2200: 0x0405
0268 0x221F: 0x0000
026C 0x221F: 0x0007
0270 0x221E: 0x002D
0274 0x2218: 0xF030
0278 0x221E: 0x0023
027C 0x2216: 0x0005
0280 0x2215: 0x005C
0284 0x2219: 0x0068
0288 0x2215: 0x0082
028C 0x2219: 0x000A
0290 0x2215: 0x00A1
0294 0x2219: 0x0081
0298 0x2215: 0x00AF
029C 0x2219: 0x0080
02A0 0x2215: 0x00D4
02A4 0x2219: 0x0000
02A8 0x2215: 0x00E4
02AC 0x2219: 0x0081
02B0 0x2215: 0x00E7
02B4 0x2219: 0x0080
02B8 0x2215: 0x010D
02BC 0x2219: 0x0083
02C0 0x2215: 0x0118
02C4 0x2219: 0x0083
02C8 0x2215: 0x0120
02CC 0x2219: 0x0082
02D0 0x2215: 0x019C
02D4 0x2219: 0x0081
02D8 0x2215: 0x01A4
02DC 0x2219: 0x0080
02E0 0x2215: 0x01CD
02E4 0x2219: 0x0000
02E8 0x2215: 0x01DD
02EC 0x2219: 0x0081
02F0 0x2215: 0x01E0
02F4 0x2219: 0x0080
02F8 0x2215: 0x0147
02FC 0x2219: 0x0096
0300 0x2216: 0x0000
0304 0x221E: 0x002D
0308 0x2218: 0xF010
030C 0x221F: 0x0007
0310 0x221E: 0x0020
0314 0x2215: 0x0100
0318 0x221F: 0x0005
031C 0x2205: 0x8B84
0320 0x2206: 0x0062
0324 0x221F: 0x0000
0328 0x220D: 0x0003
032C 0x220E: 0x0015
0330 0x220D: 0x4003
0334 0x220E: 0x0006
0338 0x133F: 0x0010
033C 0x133E: 0x0FFE
0340 0x12A4: 0x380A
0344 0x0018: 0x0C00
0348 0x0038: 0x0C00
034C 0x0058: 0x0C00
0350 0x0078: 0x0C00
0354 0x0098: 0x0C00
0358 0x00B8: 0x0C00
035C 0x00D8: 0x0C00
0360 0x00F8: 0x0C00
0364 0x1203: 0xFF00
0368 0x1200: 0x7FC4
036C 0x0200: 0x0034
0370 0x0865: 0x3210
0374 0x087B: 0x0000
0378 0x087C: 0xFF00
037C 0x087D: 0x0000
0380 0x087E: 0x0000
0384 0x0801: 0x0100
0388 0x0802: 0x0100
038C 0x0A20: 0x2040
0390 0x0A21: 0x2040
0394 0x0A22: 0x2040
0398 0x0A23: 0x2040
039C 0x0A24: 0x2040
03A0 0x0A25: 0x2040
03A4 0x0A26: 0x2040
03A8 0x0A27: 0x2040
03AC 0x0A28: 0x2040
03B0 0x0A29: 0x2040
03B4 0x1B03: 0x0960
03B8 0x0900: 0x4444
03BC 0x0901: 0x4444
03C0 0x087B: 0x8010
03C4 0x087C: 0x4020
03C8 0x087D: 0x0408
03CC 0x087E: 0x0102
03D0 0x090A: 0x1001
03D4 0x0302: 0x8787
03D8 0x0303: 0x8787
03DC 0x0304: 0x8787
03E0 0x0305: 0x8787
03E4 0x030C: 0x0001
03E8 0x030D: 0x0002
03EC 0x030E: 0x0004
03F0 0x0313: 0x0008
03F4 0x0314: 0x0001
03F8 0x0315: 0x0002
03FC 0x0316: 0x0004
0400 0x031B: 0x0008
0404 0x031C: 0x0001
0408 0x031D: 0x0002
040C 0x031E: 0x0004
0410 0x0323: 0x0008
0414 0x0324: 0x0001
0418 0x0325: 0x0002
041C 0x0326: 0x0004
0420 0x032B: 0x0008
0424 0x032C: 0x0001
0428 0x032D: 0x0002
042C 0x032E: 0x0004
0430 0x0333: 0x0008
0434 0x0334: 0x0001
0438 0x0335: 0x0002
043C 0x0336: 0x0004
0440 0x033B: 0x0008
0444 0x033C: 0x0001
0448 0x033D: 0x0002
044C 0x033E: 0x0004
0450 0x0343: 0x0008
0454 0x0344: 0x0001
0458 0x0345: 0x0002
045C 0x0346: 0x0004
0460 0x034B: 0x0008
0464 0x0851: 0x1111
0468 0x0852: 0x1111
